domain,term,definition,source
N/A,Contingent assets and liabilities,"Possible obligations (and corresponding claims) whereby one party is obliged to provide payment to another unit only if certain specific conditions prevail. As they are conditional obligations, they are not recognized as financial assets or liabilities, with the exception of standardized guarantees. Contingent assets and liabilities can be explicit (based on legal obligations) or implicit (not based on legal obligations).",IMF
N/A,Contracts,Agreements between two or more parties that create enforceable rights and obligations.,IMF
N/A,"Contracts, leases, and licenses","Nonproduced assets where one party to a contract, lease, or license is able legally and practically to realize the price difference between the market price for the use of an asset or the provision of a service and the price specified in the contract, lease, or license. Non-fungible tokens that grant limited ownership rights are also included.",IMF
N/A,Control of a corporation,"Ability to determine general corporate policy of a corporation, where general corporate policy is understood in a broad sense to mean the key financial and operating policies relating to the corporation’s strategic objectives as a market producer. In practice, control is determined to exist if an investor has more than 50 percent of the voting power in an enterprise. The control may be direct (through ownership of voting power or other arrangements) or indirect (through ownership of enterprises that in turn have voting power). In the case of control by the government, or another public unit, control can also be exercised in other ways than owning more than half of the voting power.",IMF
N/A,Control of a nonprofit institution,"Ability to determine general policy or program of the nonprofit institution, where general policy or program is understood in a broad sense to refer to the constitution, articles of association, or other enabling instruments that dictate the parameters under which a nonprofit institution may operate and the related financial risks to which it is exposed.",IMF
N/A,Corporate inversion,"The corporate restructuring of a multinational enterprise group such that the original ultimate controlling parent company in one economy becomes a subsidiary of the new parent in another economy. In addition, the ownership of a group of enterprises may be shifted to the new parent company.",IMF
N/A,Corporations,"Institutional units, mainly consisting of independent legally constituted corporations and also cooperatives, limited liability partnerships, notional resident units, and quasi-corporations, whose principal activities are to produce goods or services for the market.",IMF
N/A,"Cost, insurance, and freight basis","Valuation basis where goods are valued at the importer’s border—that is, including the cost of insurance and freight incurred up to the point of the goods entering the economy of the importer.",IMF
N/A,Costs of ownership transfer,Costs associated with acquiring and disposing of nonfinancial assets (other than inventories).,IMF
N/A,Coupon rate / Coupon,The rate of interest payable by a debt security issuer to the holder on the security’s face value.,IMF
N/A,Credit default swap,Financial derivative contract in which the seller compensates the buyer in the event of a default of the underlying instrument.,IMF
N/A,Credit derivatives,Financial derivatives whose primary purpose is to trade credit risk.,IMF
N/A,Credit risk,The risk that one party to a financial instrument will cause a financial loss for the other party by failing to discharge an obligation.,IMF
