domain,term,definition,source
N/A,Purchased goodwill and marketing assets,"The sum of goodwill (i.e., the difference between the value paid for an enterprise as a going concern and the sum of its assets less the sum of its non-equity liabilities) and any separately identified marketing assets (i.e., items such as brand names, mastheads, trademarks, logos, and domain names).",IMF
N/A,Purchasers’ price,"The amount payable by the purchaser, excluding any deductible VAT or similar deductible tax, to take delivery of a unit of a good or service at the time and place required by the purchaser. This price includes any transport charges paid separately by the purchaser to take delivery at the required time and place.",IMF
N/A,Purchasing power parity,The number of units of country B’s currency that are needed in country B to purchase the same quantity of an individual good or service as one unit of country A’s currency will purchase in country A.,IMF
N/A,Quadruple-entry accounting,"Simultaneous application of vertical and horizontal double-entry method, where each transaction results in four entries in the system: two for the instruments and two for the counterparties involved in the transaction.",IMF
N/A,Quasi-corporations,Unincorporated enterprises that operate as if they were a unit separate from their owner(s). They are treated as if they are a corporation.,IMF
N/A,Quasi-fiscal operations,Government operations carried out by institutional units other than general government units.,IMF
N/A,Real gross domestic income,The purchasing power of the income earned by all institutional units in an economic territory from the use of their labor and capital in the production of goods and services during an accounting period.,IMF
N/A,Reappraisals,Changes in the measured stock of assets due to the use of updated information that permits a reassessment of the size or value of the stock.,IMF
N/A,Reassignment,Rearrangement of a transaction by a third party on behalf of others as taking place directly between the two principal parties involved.,IMF
N/A,Recurrent taxes on immovable property (relevant for GFS),"Taxes levied regularly on the use or ownership of immovable property, which includes land, buildings and other structures.",IMF
N/A,Recurrent taxes on net wealth (relevant for GFS),Taxes levied regularly on net wealth.,IMF
N/A,Reexports,"Goods produced in other economies, and previously imported with a change of economic ownership, that are exported with no substantial transformation from the state in which they were previously imported.",IMF
N/A,Reference period,"Period, usually a year, quarter, or month, which is used as a reference for compiling certain time series. Price and volume indices, including time series of volume estimates, typically have a certain period in the past as a reference point.",IMF
N/A,Reference rate for the calculation of implicit financial services on loans and deposits,"Interest rate used for the calculation of implicit financial services on loans and deposits between borrowers and lenders. If the lender receives L interest and the borrower pays B interest and the reference rate is R, then the service charge to the lender is R − L and to the borrower is B − R.",IMF
N/A,Reimports,"Domestically produced goods imported in the same state as previously exported, without any substantial transformation occurring on the goods while they were outside the territory.",IMF
N/A,Reinsurance,Insurance between one insurance corporation and another with the aim to spread the insurance risk.,IMF
N/A,Reinvested earnings on foreign direct investment / Reinvested earnings on direct investment (relevant for BPM),Foreign direct investor’s proportion of distributable income of a direct investment enterprise less amounts declared for dividend distribution to direct investors or less withdrawals from income of quasi-corporations by the direct investors. Reinvested earnings are treated as being distributed and subsequently reinvested.,IMF
N/A,Reinvestment of earnings,The entry in the financial account corresponding to reinvested earnings in the earned income account.,IMF
N/A,Remaining maturity / Residual maturity,Period from the reference date until the final contractually scheduled payment date. Also referred to as residual maturity.,IMF
N/A,Remuneration of employees,"Total remuneration, in cash or in kind, payable by an enterprise to an employee in return for work done by the latter during the accounting period.",IMF
N/A,Renewable energy resources,"Energy resources that comprise the cumulative quantities of kinetic, radiative, and thermal energy recoverable from moving water (hydro and ocean energy), moving air (wind energy), hot underground and surface rock and water (geothermal resources), and incident solar radiation (solar resources).",IMF
N/A,Rent,Income receivable by the owner of a nonproduced natural resource or another nonproduced nonfinancial asset (the lessor or landlord) for putting the asset at the disposal of another institutional unit (a lessee or tenant) for use in production.,IMF
N/A,Rental,"Amount payable by the user of a fixed asset to its owner, under an operating lease or similar contract, for the right to use that asset in production for a specified period of time. In balance of payments, rentals are classified under different service categories depending on the underlying asset type.",IMF
N/A,Requited transactions / Exchange transactions,"Transactions in which one unit provides a good, service, asset, or labor to a second unit and receives a good, service, asset, or labor of equivalent value in return (“something for something”). This includes transactions where one unit compensates a second unit for the temporary use of an asset owned by the second unit.",IMF
N/A,Rerouting,Recording a transaction as taking place through channels that differ from the actual ones or as taking place in an economic sense when no actual transactions take place.,IMF
N/A,Research and development,"Value of creative work undertaken on a systematic basis to increase the stock of knowledge, including knowledge of humans, culture, or society, and use of this stock of knowledge for the purpose of discovering or developing new products, including improved versions or qualities of existing products, or discovering or developing new or more efficient processes of production. This does not extend to including human capital as assets.",IMF
N/A,Research and development services (relevant for BPM),"Services associated with basic research, applied research, and experimental development of new products and processes.",IMF
N/A,Reserve assets (relevant for BPM) / International reserve assets / Gross international reserves,"External assets, including monetary gold, that are readily available to and controlled by monetary authorities for meeting balance-of-payments financing needs, intervention in exchange markets to affect the currency exchange rate, and other related purposes (such as maintaining confidence in the currency and the economy and serving as a basis for foreign borrowing). Reserve assets must be denominated and settled in foreign currency.",IMF
N/A,Reserve deposits,Deposits at the central bank that other deposit-taking corporations use to satisfy reserve requirements for eligible liabilities.,IMF
N/A,Reserve position in the International Monetary Fund,The sum of a member’s reserve tranche position and any indebtedness of the IMF in the general resources account that is readily available to the member to meet balance-of-payments financing needs.,IMF
N/A,Reserve tranche position in the International Monetary Fund,Includes a member’s reserve tranche and any indebtedness of the IMF (under a borrowing agreement) in the general resources account that is readily available to the member country.,IMF
N/A,Reserve-related liabilities (relevant for BPM),Foreign currency liabilities of the monetary authorities that can be considered as direct claims by nonresidents on the reserve assets of an economy.,IMF
N/A,Residence,"The economic territory with which an institutional unit has the strongest connection—that is, its center of predominant economic interest.",IMF
N/A,Resident units,Units that meet the criteria of residence in an economic territory.,IMF
N/A,Residual value of a nonfinancial asset,"Amount that a unit would obtain from the disposal of an asset, after deducting the estimated costs of disposal, if the asset were already of the age and in the condition expected at the end of its useful life.",IMF
N/A,Resource management activities,Activities whose primary purpose is preserving and maintaining the stock of natural resources and hence safeguarding against depletion.,IMF
N/A,Resource rent / Economic rent,"Surplus value accruing to the extractor of a natural resources, or a user of an asset more generally, calculated after all intermediate costs, labor costs, and the costs of fixed capital used have been taken into account.",IMF
N/A,Rest of the world,All nonresident institutional units that enter into transactions with resident units or that have other economic links with resident units.,IMF
N/A,Restructuring agencies,Institutional units set up to sell corporations and other assets and to reorganize companies. They may also be used for dealing with the defeasance of impaired assets or repayment of liabilities of insolvent entities often in the context of a banking crisis.,IMF
N/A,Retained earnings of a corporation or quasi-corporation / Retained earnings,"Distributable income less the dividends payable or less the withdrawals from the income of quasi-corporations, respectively.",IMF
N/A,Revenues (relevant for SNA),Transactions that add to the amount of economic value of a unit or sector.,IMF
N/A,Reverse investment (relevant for BPM) / Reverse direct investment (relevant for BPM),"Direct investment resulting from a direct investment enterprise lending funds to or acquiring equity in its immediate or indirect direct investor, provided it does not own equity comprising 10 percent or more of the voting power in that direct investor.",IMF
N/A,Reverse repos,Repos viewed from the perspective of the securities taker (cash provider).,IMF
N/A,Reverse transactions,"Contractual arrangements involving a change of legal ownership of securities, gold, or other assets (e.g., commodities) with a commitment to repurchase the same or similar securities, gold, or other assets either on a specified date or with open maturity.",IMF
N/A,Round tripping (relevant BPM),Channeling abroad by resident direct investors of local funds and the subsequent return of these funds to the local economy in the form of direct investment.,IMF
N/A,Sales of goods and services (relevant for GFS),"Sales by market producers, some administrative fees charged for services, incidental sales by non-market producers, receipts from sales of non-market output, and imputed sales of goods and services.",IMF
N/A,Sales taxes (relevant for GFS),"General taxes levied on sales at one stage only, whether at manufacturing or production stages or on wholesale or retail trade.",IMF
N/A,Saving,Amount that represents the part of disposable income (adjusted for the change in pension entitlements) that is not spent on final consumption.,IMF
N/A,Seasonal adjustment,Method to remove seasonal and calendar effects from short-term indicators.,IMF
N/A,Seasonality,Pattern repeating on a regular basis in the same period of each year.,IMF
N/A,Secondary activity,"Activity carried out by (a part of) an enterprise in addition to the principal activity and whose output, like that of the principal activity, must be suitable for delivery to other units.",IMF
N/A,Securities,"Debt and equity instruments that have the characteristic feature of negotiability—that is, their legal ownership is readily capable of being transferred from one unit to another unit by delivery or endorsement.",IMF
N/A,Securities lending,"Contractual arrangement whereby a security holder transfers securities to another party (security taker), subject to the stipulation that the same or similar securities be returned on a specified date or on demand.",IMF
N/A,Securities repurchase agreement / Repo,"Contractual arrangements involving the sale of securities for cash, at a specified price, with a commitment to repurchase the same or similar securities at a fixed price either on a specified future date or without a fixed maturity date (“open” maturity).",IMF
N/A,Securitization,"Creation and issuance of debt securities for which coupon or principal payments (or both) are backed by specified financial assets, nonfinancial assets, or future income streams.",IMF
N/A,Securitization vehicle,"Financial corporation that specializes in issuing securities backed by specified financial assets, nonfinancial assets, or future income streams.",IMF
N/A,Security tokens,Crypto assets that represent debt or equity claims on the issuer or derivative contracts that can be exchanged peer to peer even if the underlying asset is not a crypto asset.,IMF
N/A,Self-employed persons,Persons who are the sole or joint owners of the unincorporated enterprises in which they work excluding those unincorporated enterprises that are classified as quasi-corporations.,IMF
N/A,Services,"Results from a production activity that changes the conditions of the consuming units, or facilitates the exchange of products, nonproduced nonfinancial assets, or financial assets. Services are not generally separate items over which ownership rights can be established and cannot generally be separated from their production.",IMF
N/A,Shares,Negotiable financial instruments representing claims on the residual value of a corporation after the claims of all creditors have been met.,IMF
N/A,Shariah,"The practical divine law deduced from its legitimate sources: the Qurʼān, Sunnah, consensus (ijmāʻ), analogy (qiyās), and other approved sources of the Shariah.",IMF
N/A,Short position,Position when an institutional unit sells securities for which it is not the economic owner.,IMF
N/A,Short-term maturity / Short–term,Maturity of one year or less or payable on demand.,IMF
N/A,Short-term net foreign currency drains (relevant for BPM),Foreign currency obligations (foreign currency outflows net of inflows) scheduled to come due during the twelve months ahead.,IMF
N/A,Shuttle trade (relevant for BPM),Transactions involving the purchase of goods in an economy by travelers (nonresidents) who then transport these goods back to their economy of residence where they are to be sold; goods purchased by travelers in their home country for resale abroad; and goods purchased by travelers abroad in one economy and sold abroad in a second economy.,IMF
N/A,Significant influence / Significant degree of influence,"Power to participate in the financial and operating policy decisions of a unit but not control those policies. Significant influence may be gained by an ownership interest, statute, or agreement. In the case of foreign direct investment, a direct investor is considered to have a significant degree of influence if it owns between 10 and 50 percent of the voting power in a direct investment enterprise.",IMF
N/A,SNA interest (relevant for SNA) / Pure interest (relevant for BPM),"The pure interest that financial corporations charge for loans or provide for deposits—that is, after accounting for implicit financial services on loans and deposits.",IMF
N/A,Social assistance,Arrangement organized by government units or NPISHs to provide current transfers that meet the same needs as social insurance schemes but without any requirement to participate in a social insurance scheme through the payment of contributions.,IMF
N/A,Social assistance benefits in cash,Social benefits payable in cash by government units or NPISHs to households to meet the same needs as social insurance benefits but without any requirement to participate in a social insurance scheme through the payments of social contributions.,IMF
N/A,Social benefits,"Current transfers receivable by households intended to provide for the needs that arise from certain events or circumstances—for example, sickness, unemployment, retirement, housing, education, or family circumstances.",IMF
N/A,Social benefits other than social transfers in kind,"Social benefits other than goods and services provided by the government or NPISHs either free or at prices that are not economically significant. They consist of social security benefits in cash, other social insurance benefits, and social assistance benefits in cash.",IMF
N/A,Social capital,"The social norms, shared values, and institutional arrangements that foster cooperation within or among groups.",IMF
N/A,Social contributions / Social insurance contributions,Actual and imputed contributions payable to social insurance schemes for a designated beneficiary to be entitled to receive the social benefits covered by the scheme.,IMF
N/A,"Social contributions, employers’ actual / Employers’ actual social contributions / Actual employers’ social contributions",Actual contributions payable by employers to social security funds and other social insurance schemes to obtain entitlement to social benefits for their employees.,IMF
N/A,"Social contributions, employers’ imputed / Employers’ imputed social contributions; Imputed employers’ social contributions","Imputed contributions payable by employers to deliver non-pension social benefits paid directly by employers to their employees, ex-employees, and other eligible persons and pension benefits under a defined benefit pension scheme. It is calculated as a residual after accounting for employers’ and households’ actual contributions.",IMF
N/A,"Social contributions, households’ actual / Households’ actual social contributions","Social contributions payable on their own behalf by employees or self-employed persons, which may include persons temporarily without employment, to social insurance schemes.",IMF
N/A,"Social contributions, households’ supplements / Households’ social contribution supplements",Investment income earned during the accounting period on the stock of pension and non-pension entitlements.,IMF
N/A,Social contributions less service charges / Social insurance contributions less service charges,Actual and imputed contributions payable to social insurance schemes to make provision for social benefits to be paid less any fees charged by the administrators of the schemes.,IMF
N/A,Social debt securities,Debt securities where the use of proceeds is restricted to financing or refinancing activities or projects that improve the condition of society.,IMF
N/A,Social insurance benefits,Social benefits payable because the beneficiary participates in a social insurance scheme and the social risk insured against has occurred. They consist of social security benefits in cash and other social insurance benefits.,IMF
N/A,Social insurance schemes / Social insurance,"Schemes where a third party, usually an employer or the government, encourages or obliges designated groups of individuals to participate in a scheme to provide for the needs that arise from certain events or circumstances—for example, sickness, unemployment, retirement, housing, education, or family circumstances. Included are both social security schemes (which cover the entire community or large sections of it and are imposed, controlled, and financed by the government) as well as other employment-related schemes.",IMF
N/A,Social protection,"All interventions from public or private bodies intended to relieve households and individuals of the burden of a defined set of social risks or needs, provided that there is neither a simultaneous reciprocal nor an individual arrangement involved. The risks and needs are sickness / health care, disability, old age, survivors, family / children, unemployment, housing, and social exclusion not elsewhere classified.",IMF
N/A,Social risks,"Events or circumstances that relate to the characteristics of individuals and households—for example, age, health, poverty, and employment status—and may adversely affect the welfare of individuals and households either by imposing additional demands on their resources or by reducing their income.",IMF
N/A,Social security benefits in cash,"Social benefits payable in cash by social security funds to households, requiring the participation in a social insurance scheme through the payment of social contributions.",IMF
N/A,Social security contributions,Amounts payable to a social security scheme for a designated beneficiary to be entitled to receive the social benefits covered by the scheme.,IMF
N/A,Social security funds,A particular kind of government unit that is devoted to the operation of one or more social security schemes.,IMF
N/A,Social security schemes / Social security,"Social insurance schemes covering the community as a whole, or large sections of the community, and are imposed and controlled by government units.",IMF
N/A,Social transfers in kind,Goods and services provided to households by government and NPISHs either free or at prices that are not economically significant.,IMF
N/A,Sovereign wealth funds,"Units created and owned by the general government for macroeconomic purposes; to hold, manage, or administer assets to achieve financial objectives; and to employ a set of investment strategies that include investing in foreign financial assets. The funds are commonly established out of balance-of-payments current account surpluses, official foreign currency operations, proceeds of privatizations, fiscal surpluses, and receipts resulting from commodity exports.",IMF
N/A,Special Drawing Rights,Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets.,IMF
N/A,Special purpose entity (SPE),"A formally registered and incorporated legal entity recognized as an institutional unit and resident in an economy with no or little employment up to a maximum of five employees, no or little physical presence, and no or little physical production in the host economy. SPEs are directly or indirectly controlled by nonresidents. They are established to obtain specific advantages provided by the host jurisdiction with an objective to (i) grant its owner(s) access to capital markets or sophisticated financial services; (ii) isolate owner(s) from financial risks; (iii) reduce regulatory and tax burden; and (iv) safeguard the confidentiality of the owner(s) and their transactions. SPEs transact almost entirely with nonresidents, and a large part of their financial balance sheet typically consists of cross-border claims and liabilities.",IMF
N/A,Spot exchange rate,The current exchange rate at which one currency can be exchanged for another currency.,IMF
N/A,Spot price,"The current price in the marketplace at which a given asset—such as a security, commodity, or currency—can be bought or sold for immediate delivery.",IMF
N/A,Stablecoins,A crypto asset that aims to maintain a stable value relative to a specified asset or a pool or basket of assets.,IMF
N/A,Standard component (relevant for BPM),Items that are fully part of the framework and contribute to the totals and balancing items.,IMF
N/A,Standardized guarantees,"Guarantees that are not provided by means of a financial derivative (such as credit default swaps) but for which the probability of default can be well established. Standardized guarantees are issued in large numbers, usually for fairly small amounts, along identical lines.",IMF
N/A,State government,"Part of the general government that includes all institutional units exercising some of the functions of the government at a level below that of the central government and above that of the governmental institutional units existing at a local level. They are institutional units whose fiscal, legislative, and executive authority extends only over the individual “states” into which the country as a whole may be divided as well as the nonmarket producers controlled by state governments. States may be described by different names in different countries, and the subsector may consist of state, provincial, or regional governments. Social security funds organized and managed by different levels of government are typically classified in a separate subsector of the general government. Alternatively, social security funds that are organized and managed by the state governments could be included in the state governments’ subsector.",IMF
N/A,Statistical discrepancy,"Statistical imbalances stemming from imperfections in source data and compilation. In balance of payments, it is used to show the difference between net lending / net borrowing derived from the financial account and net lending / net borrowing from the current and capital accounts.",IMF
N/A,Stocks / Positions,"Levels of financial/nonfinancial assets or liabilities at a point in time. In the case of financial assets/liabilities, usually the term “positions” is used, while for levels of nonfinancial assets, the term “stocks” is often applied.",IMF
N/A,Stripped securities / Strips,Securities that have been transformed from a principal amount with coupon payments into a series of zero-coupon bonds with a range of maturities matching the coupon payment date(s) and the redemption date of the principal amount(s).,IMF
N/A,Subscription rights,Rights for corporate shareholders to participate in the acquisition of shares newly issued by the corporation.,IMF
N/A,Subsidiary,Direct investment enterprise over which the direct investor is able to exercise control. It could also refer to domestic relationships.,IMF
N/A,Subsidies,"Current unrequited payments that government units, including nonresident government units, make to enterprises on the basis of the levels of their production activities or the quantities or values of the goods or services that they produce, sell, export, or import.",IMF
N/A,Subsidies on products,Subsidies payable per unit of a good or service.,IMF
N/A,Sukuk,"Investment certificates issued by Islamic financial institutions to obtain funding. Sukuk (plural of sakk, known as Islamic bonds) are certificates, with each sakk representing a proportional undivided ownership right in tangible and intangible assets, monetary assets, usufruct, services, debts or a pool of predominantly tangible assets, or a business venture (such as mudaraba or musharaka). These assets, which must be clearly identifiable, may be in a specific project or investment activity in accordance with Shariah rules and principles.",IMF
N/A,Super dividends,"Large and irregular payments made by corporations to their shareholders or owners that are funded from accumulated reserves or sales of assets other than cash. If the distributable income is positive, the difference between the payment and the distributable income of the relevant accounting period is recorded as a super dividend under withdrawal of equity. The remainder of the payment (equal to the distributable income) is recorded as a dividend. If the distributable income is negative, the entire dividend payout is recorded as a super dividend under withdrawal of equity. The concept of super dividends does not apply to foreign direct investment where distributions from accumulated reserves are also treated as dividends. However, in the case of foreign direct investment, any additional distributions—for example, from sales of assets—are recorded as withdrawal of equity.",IMF
N/A,Supplementary items,"Items outside the standard presentation and compiled based on the specific circumstances of the economy, taking into account the interests of policymakers and analysts as well as resource costs.",IMF
N/A,Supply table,Table showing the supply of goods and services by product and by domestic producing industry and imports. The supply table at purchasers’ prices consists of a domestic output matrix at basic prices with rows corresponding to products and columns corresponding to industries (matching the body of the use table) and additional columns for imports and valuation adjustments necessary to have total supply of each product valued at purchasers’ prices.,IMF
N/A,Sustainability debt securities,Debt securities where the use of proceeds is restricted to financing or refinancing activities or projects that improve the condition of the environment and society.,IMF
N/A,Sustainability-linked debt securities,"Debt securities in which certain characteristics, such as the associated cash flows, are linked to achieving performance objectives that improve the condition of the environment and society.",IMF
N/A,Swaps / Swap contracts,Contractual arrangements where the counterparties exchange financial instruments or cash flows based on the reference prices of the underlying items in accordance with prearranged terms.,IMF
N/A,Synthetic securitization,Arrangement that involves transfer of the credit risk related to a pool of assets without transfer of the assets themselves either through a securitization unit or through the direct issuing of debt securities by the original asset owner.,IMF
N/A,Takaful,"Mutual guarantee in Islamic finance in return for the commitment to donate an amount in the form of a specified contribution to the participants’ risk fund, whereby a group of participants agree among themselves to support one another jointly for the losses arising from specified risks.",IMF
N/A,Tax credits,Amounts that are subtracted directly from the tax liability due by the beneficiary household or corporation after the liability has been computed.,IMF
N/A,Tax relief measures (relevant for GFS) / Tax reliefs (relevant for GFS),"Measures that reduce the amount of tax owed by an institutional unit, that can take the form of a tax allowance, an exemption, a deduction, or a tax credit.",IMF
N/A,Taxes,"Compulsory, unrequited payments, in cash or in kind, made by institutional units to government units.",IMF
N/A,Taxes and duties on imports excluding VAT,Taxes on goods and services (except VAT) that become payable at the moment when goods enter the economic territory or when services are delivered by nonresident producers to residents.,IMF
N/A,Taxes less subsidies on production,"Taxes payable or subsidies receivable on goods or services produced as outputs and other taxes or subsidies on production, such as those payable on the labor, machinery, buildings, or other assets used in production.",IMF
N/A,Taxes on capital transfers,"Taxes on the values of assets transferred between institutional units. They consist mainly of inheritance taxes, or death duties, and gift taxes, including gifts inter vivos made between members of the same family to avoid, or minimize, the payment of inheritance taxes. They do not include taxes on sales of assets, as these are not transfers.",IMF
N/A,Taxes on financial and capital transactions (relevant for GFS),"Taxes levied on the change in ownership of property, except those classified as gifts, inheritance, or estate transactions.",IMF
N/A,Taxes on goods and services (relevant for GFS),"Taxes that become payable as a result of the production, sale, transfer, leasing, or delivery of goods and rendering of services, or as a result of their use for own consumption, or own capital formation.",IMF
N/A,Taxes on imports excluding VAT and import duties,Taxes (except VAT and import duties) that become payable when goods enter the economic territory or services are delivered by nonresident producers to residents.,IMF
N/A,Taxes on income,"Taxes payable on incomes, profits, and capital gains.",IMF
N/A,"Taxes on income, profits, and capital gains (relevant for GFS)","Taxes payable on the actual or presumed incomes, profits and capital gains.",IMF
N/A,Taxes on individual or household income (relevant for GFS),Personal income taxes including those collected (rather than deducted) by employers (pay-as-you-earn taxes) and surtaxes.,IMF
N/A,Taxes on international trade and transactions (relevant for GFS),Taxes that become payable when goods cross the national or customs frontiers of the economic territory or when transactions in services exchange between residents and nonresidents.,IMF
N/A,Taxes on payroll or workforce (relevant for GFS),Taxes payable by enterprises assessed either as a proportion of the wages and salaries paid or as a fixed amount per person employed.,IMF
N/A,Taxes on production and imports,"Compulsory, unrequited payments levied by the government in respect of production or import of goods and services.",IMF
N/A,Taxes on products,Taxes payable per unit of a good or service.,IMF
N/A,"Taxes on products excluding VAT, import, and export taxes","Taxes on goods and services that become payable as a result of the production, sale, transfer, leasing, or delivery of those goods or services or as a result of their use for own consumption or own capital formation.",IMF
N/A,Taxes on property (relevant for GFS),"Taxes payable on the use, ownership or transfer of wealth.",IMF
N/A,Taxes on specific services (relevant for GFS),"Taxes levied on payments for specific services, such as hotels, insurance, banking, separate or in addition to taxes on goods and services that apply to a wide range of goods and services.",IMF
N/A,Taxes on the income of corporations (relevant for GFS),"Taxes payable on corporate income, including taxes on profits and capital gains, corporate surtaxes, etc.",IMF
N/A,Taxes on use of goods and on permission to use goods or perform activities (relevant for GFS),Fees levied for the issuance of a license or permit that are not commensurate with the cost of the control function of government.,IMF
N/A,Taxes on winnings from lotteries or gambling (relevant for GFS),Taxes payable on the amounts receivable by winners of lotteries or gambling.,IMF
N/A,"Technical, environmental, and other business services (relevant for BPM)","Architectural, engineering, scientific, and other technical services; environmental, agricultural, and mining; and other business services.",IMF
N/A,Telecommunications services (relevant for BPM),"Services related to the broadcast or transmission of sound, images, data, or other information by telephone, radio and television cable transmission, radio and television satellite, electronic mail, and so forth, including business network services, teleconferencing, and support services.",IMF
N/A,Term life insurance,"In contrast to life insurance, term life insurance benefits are payable only on the death or incapacity of the insured within a specified time period; therefore, term life insurance is included in non-life insurance.",IMF
N/A,Terminal costs,"Costs incurred on the disposal of an asset or at the end of its service life. These cover, for example, de-installation and decommissioning costs (in case of oil rigs or nuclear power stations) or rehabilitation costs of land sites.",IMF
N/A,Terms of trade,Ratio of the price of exports to the price of imports.,IMF
N/A,Total gross debt / Total debt / Total debt liabilities,The sum of all liabilities that are debt instruments.,IMF
N/A,Total remittances,The sum of personal remittances and cross-border social benefits.,IMF
N/A,Trade credit and advances,Credit in the form of deferred payment extended directly by the sellers of goods and services to the purchasers and advances for work that is in progress (or is yet to be undertaken) and prepayment by purchasers for goods and services not yet provided.,IMF
N/A,Transactions,Economic flows that are interactions between institutional units by mutual agreement or through the operation of the law or actions within an institutional unit that are analytically useful to treat like transactions because the unit is operating in two different capacities.,IMF
N/A,Transactor principle (BPM),Principle whereby cross-border transactions are allocated to the economy of residence of the nonresident party to the transaction (the transactor).,IMF
N/A,Transactor-based components (relevant for BPM),"Classification of services relating to the provider/acquirer rather than the product itself. Examples include travel, construction, and government goods and services not included elsewhere. Unlike other services components, transactor-based components encompass several product categories bundled together.",IMF
N/A,Transfer income account,"Account that records the distribution of income between institutional units via current transfers. In the context of external accounts, this account records current transfers between residents and nonresidents.",IMF
N/A,Transfer pricing,Valuation of transactions between affiliated enterprises.,IMF
N/A,Transferable deposits,"Deposits that are exchangeable for currency (including their digital versions) on demand at par and without penalty or restriction and directly usable for making payments by check, draft, GIRO order, direct debit or credit, or other direct payment facility.",IMF
N/A,Transfers,"Transactions in which one institutional unit provides a good, service, or asset to another unit without receiving from the latter any good, service, or asset in return as a direct counterpart.",IMF
N/A,Transfers not elsewhere classified (GFS),"All transfers other than taxes, grants, social contributions, social benefits, fines, penalties, and forfeits. As a government expense, then subsidies are also excluded, but within government revenue, subsidies are treated within transfers not elsewhere classified.",IMF
N/A,Transit trade,"Goods crossing a country on the way to their final destination, which are generally excluded from foreign trade statistics, balance of payments, and national accounts of the country in transit.",IMF
N/A,Transport (relevant for BPM),The process of carriage of people and objects from one location to another as well as related supporting and auxiliary services. This includes postal and courier services.,IMF
N/A,Transport equipment,Equipment for moving people and objects.,IMF
N/A,Travel (relevant for BPM),Goods and services for own use or to give away acquired from an economy by nonresidents during visits to that economy or acquired from other economies by residents during visits to these other economies.,IMF
N/A,"Tree, crop, and plant resources yielding repeat products","Trees, crop, and plant resources yielding repeat products whose natural growth and regeneration are under the direct control, responsibility, and management of institutional units. They include trees (including vines and shrubs) cultivated for fruits and nuts, for sap and resin, and for bark and leaf products. Trees grown for timber that yield a finished product once only, just as cereals or vegetables that produce only a single crop, are excluded.",IMF
N/A,Tri-party repos,"Repos mediated by a third party, typically a custodian bank or central counterparty, to reduce counterparty risk for the lender.",IMF
N/A,True-sale securitization,"Debt securities issued by a securitization unit where the underlying assets have been transferred from the original asset owner’s (i.e., the originator’s) balance sheet to that of the securitization unit.",IMF
N/A,Trust,"Legal arrangement by which property is held in the name of one party, or parties (the trustee), who is under a fiduciary obligation to hold assets for the benefit of another party or parties (the beneficiary or beneficiaries). ",IMF
N/A,Ultimate controlling parent,"Entity that ultimately controls an enterprise, identified by proceeding up the ownership chain from the enterprise through the controlling links (ownership of more than 50 percent of the voting power) until an individual, household, or company that is not controlled by another company is reached. If there is no company, individual, or household that controls the resident company, then the resident company may be considered to be its own ultimate controlling parent.",IMF
N/A,Ultimate host economy,The economy of the final destination for direct investment.,IMF
N/A,Ultimate investing economy,The economy in which the ultimate controlling parent is resident.,IMF
N/A,Unallocated gold accounts,Accounts that do not give the holder the title to physical gold but provide a claim against the account operator to deliver gold.,IMF
N/A,Uncompensated seizures,"Governments or other institutional units taking possession of assets of other institutional units without compensation for reasons other than payment of taxes, fines, and so on.",IMF
N/A,Unemployed persons / Unemployment,Persons who are not employed but available for work and actively seeking work for pay or profit.,IMF
N/A,Unincorporated enterprise,"Enterprise representing the production activity of a government unit, the central bank, NPISHs, or household that cannot be treated separately as the production activity of a quasi-corporation.",IMF
N/A,Unit of account,"A standard for denominating the prices of goods and services, and the values of financial instruments and nonfinancial assets, thereby providing a means for comparison of values and for preparation of financial accounts. Unit of account is one of the basic functions of money. For most economies, the unit of account is the national currency, and for others, another currency (e.g., US dollars) may be used. The accounts are compiled in the unit of account.",IMF
N/A,Unit value index,Index that measures the change in the average value of a basket of products or inputs that are not homogeneous and that may therefore be affected by changes in the mix of items as well as by changes in their prices.,IMF
N/A,Unlimited liability entity,A legal entity where the owners or partners are personally liable for all the debts and obligations of the business.,IMF
N/A,Unlisted shares / Unquoted shares,Equity securities that are not listed on an exchange (also known as unquoted shares).,IMF
N/A,Unrequited transactions,Payments in cash or kind from one institutional unit to another with nothing in return.,IMF
N/A,Use of fund credit,"International Monetary Fund member’s outstanding purchases of fund resources through the general resources account, the counterparts of which are increases in the member’s domestic currency liabilities to the fund.",IMF
N/A,Use table,"Table showing the use of goods and services by product type and by type of use for both intermediate and final users. The use table at purchasers’ prices covers all products consumed in an economy arranged in the form of a matrix with rows corresponding to the products valued at purchasers’ prices and columns corresponding to industries (matching the body of the supply table) and final uses, including an additional column for exports. Also shown is the gross value added by industry.",IMF
N/A,Utility tokens,Fungible crypto assets that provide the holders future access to goods or services. They are classified as a separate subcategory under debt securities.,IMF
N/A,Valuables,"Products of considerable value that are not used primarily for the purposes of production or consumption but are held as stores of value over time. Examples are precious metals and stones, antiques, paintings, sculptures, or other art objects.",IMF
N/A,Value added,"Contribution to the economy by a producer or an industry or an institutional sector, which is estimated by the total value of output produced and deducting the total value of intermediate consumption of goods and services used to produce that output.",IMF
N/A,Value added type taxes / Value added tax (VAT),Taxes on goods or services collected in stages by enterprises but that are ultimately charged in full to the final purchasers.,IMF
